target,gene_id,study,condition,mean,error
BAK1,NbL01g14510.1,main,wt_mock_2,384.8660447289838,26.56150255577181
BAK1,NbL01g14510.1,main,wt_mock_5,421.8904378905724,31.09056268315146
BAK1,NbL01g14510.1,main,wt_mock_7,467.1244857021624,19.36288664699525
BAK1,NbL01g14510.1,main,wt_mock_10,496.0878833057948,34.7428341032693
BAK1,NbL01g14510.1,main,wt_ag_2,587.8723153380129,51.89679226844651
BAK1,NbL01g14510.1,main,wt_ag_5,600.8842454223285,3.889895912121971
BAK1,NbL01g14510.1,main,wt_ag_7,779.4227488918109,36.92967820415402
BAK1,NbL01g14510.1,main,wt_ag_10,920.3487317640717,21.49027119038671
BAK1,NbL01g14510.1,main,p19o_ag_2,697.2379484894063,110.0144533232122
BAK1,NbL01g14510.1,main,p19o_ag_5,650.5885870477942,50.99562867771452
BAK1,NbL01g14510.1,main,p19o_ag_7,788.1229443140478,44.17849460596479
BAK1,NbL01g14510.1,main,p19o_ag_10,808.6599602799806,22.92704744705826
BAK1,NbL11g10970.1,main,wt_mock_2,175.0860519780323,18.97174644239675
BAK1,NbL11g10970.1,main,wt_mock_5,190.9826958449104,11.36150405590172
BAK1,NbL11g10970.1,main,wt_mock_7,254.4436118754376,9.574655134337757
BAK1,NbL11g10970.1,main,wt_mock_10,281.3593450351383,23.33045108892279
BAK1,NbL11g10970.1,main,wt_ag_2,313.6302857032024,39.72261968848937
BAK1,NbL11g10970.1,main,wt_ag_5,307.5822895299602,12.4874236343743
BAK1,NbL11g10970.1,main,wt_ag_7,388.5727024910258,24.56151580517392
BAK1,NbL11g10970.1,main,wt_ag_10,464.2859013159364,8.410714051502797
BAK1,NbL11g10970.1,main,p19o_ag_2,371.5592379209083,66.90366328412757
BAK1,NbL11g10970.1,main,p19o_ag_5,336.4815267282738,15.28609917227458
BAK1,NbL11g10970.1,main,p19o_ag_7,386.0279667861687,10.11724102389744
BAK1,NbL11g10970.1,main,p19o_ag_10,396.5148281114543,8.952590966830602
CERK1,NbL18g17470.1,main,wt_mock_2,355.7117860508473,36.65538067845907
CERK1,NbL18g17470.1,main,wt_mock_5,373.3760821528226,29.36856605997983
CERK1,NbL18g17470.1,main,wt_mock_7,377.2899761479732,10.5457473934572
CERK1,NbL18g17470.1,main,wt_mock_10,387.9270028342692,14.95021491996964
CERK1,NbL18g17470.1,main,wt_ag_2,363.4883696726581,31.89881067847553
CERK1,NbL18g17470.1,main,wt_ag_5,332.137263951929,36.17674165932696
CERK1,NbL18g17470.1,main,wt_ag_7,437.6137816356036,9.862234479111288
CERK1,NbL18g17470.1,main,wt_ag_10,490.9821815325279,10.59724798620968
CERK1,NbL18g17470.1,main,p19o_ag_2,432.9970044938172,65.53767553382936
CERK1,NbL18g17470.1,main,p19o_ag_5,341.6899885060233,13.52480375987748
CERK1,NbL18g17470.1,main,p19o_ag_7,430.6947496038118,48.2089950144473
CERK1,NbL18g17470.1,main,p19o_ag_10,444.5463632708229,27.14186791427171
CERK1,NbL04g17340.1,main,wt_mock_2,295.7299290180069,2.654152318728315
CERK1,NbL04g17340.1,main,wt_mock_5,353.1262477857734,22.21384436515934
CERK1,NbL04g17340.1,main,wt_mock_7,393.9087890618762,28.58450288879398
CERK1,NbL04g17340.1,main,wt_mock_10,452.7378857159479,19.10658789062936
CERK1,NbL04g17340.1,main,wt_ag_2,342.1537993133304,33.94675888304297
CERK1,NbL04g17340.1,main,wt_ag_5,324.3842719064538,11.36068753759209
CERK1,NbL04g17340.1,main,wt_ag_7,400.998659377429,27.49291420740435
CERK1,NbL04g17340.1,main,wt_ag_10,431.8046953697003,5.572189837642608
CERK1,NbL04g17340.1,main,p19o_ag_2,485.7984234756746,84.77008611819467
CERK1,NbL04g17340.1,main,p19o_ag_5,354.0405118689116,13.29335863240083
CERK1,NbL04g17340.1,main,p19o_ag_7,407.4481966089612,28.78287470497999
CERK1,NbL04g17340.1,main,p19o_ag_10,428.8374846805352,12.12426893549751
CORE,NbL07g07860.1,main,wt_mock_2,32.08692264762126,2.001105865124657
CORE,NbL07g07860.1,main,wt_mock_5,22.56464606027265,6.206512399553979
CORE,NbL07g07860.1,main,wt_mock_7,16.254027084374,1.02511576335567
CORE,NbL07g07860.1,main,wt_mock_10,20.59047750804668,4.760003638933669
CORE,NbL07g07860.1,main,wt_ag_2,65.29799372481736,7.422474817995447
CORE,NbL07g07860.1,main,wt_ag_5,68.75131558751441,19.93996229049811
CORE,NbL07g07860.1,main,wt_ag_7,40.88982093815091,6.129875541689026
CORE,NbL07g07860.1,main,wt_ag_10,40.39000827900969,5.999068799684678
CORE,NbL07g07860.1,main,p19o_ag_2,83.85017019312471,4.422276646969125
CORE,NbL07g07860.1,main,p19o_ag_5,88.07307086455586,8.845897031642732
