target,gene_id,study,condition,mean,error
BAK1,NbL01g14510.1,main,wt_mock_2,10.37483333333333,0.2368759192301136
BAK1,NbL01g14510.1,main,wt_mock_5,13.04006666666667,1.392222306641835
BAK1,NbL01g14510.1,main,wt_mock_7,16.84376666666667,2.183472144951196
BAK1,NbL01g14510.1,main,wt_mock_10,20.85476666666667,2.458881355639411
BAK1,NbL01g14510.1,main,wt_ag_2,19.8957,2.72600134079204
BAK1,NbL01g14510.1,main,wt_ag_5,24.3322,1.310288389375916
BAK1,NbL01g14510.1,main,wt_ag_7,36.23473333333333,3.018701098890787
BAK1,NbL01g14510.1,main,wt_ag_10,44.60326666666666,1.127859638627275
BAK1,NbL01g14510.1,main,p19o_ag_2,24.5539,5.078831693411389
BAK1,NbL01g14510.1,main,p19o_ag_5,28.44443333333334,1.766251465989798
BAK1,NbL01g14510.1,main,p19o_ag_7,36.87773333333333,1.948780022076491
BAK1,NbL01g14510.1,main,p19o_ag_10,39.90966666666667,0.5699508877477455
BAK1,NbL11g10970.1,main,wt_mock_2,4.69821,0.3162895281752676
BAK1,NbL11g10970.1,main,wt_mock_5,5.883253333333333,0.4537510775867216
BAK1,NbL11g10970.1,main,wt_mock_7,9.106683333333333,0.8349054868333566
BAK1,NbL11g10970.1,main,wt_mock_10,11.81703333333333,1.47512668533173
BAK1,NbL11g10970.1,main,wt_ag_2,10.63752333333333,1.77790003483823
BAK1,NbL11g10970.1,main,wt_ag_5,12.4622,0.8914343273623696
BAK1,NbL11g10970.1,main,wt_ag_7,18.03326666666667,1.411192049691009
BAK1,NbL11g10970.1,main,wt_ag_10,22.5052,0.5922018940642909
BAK1,NbL11g10970.1,main,p19o_ag_2,13.15244333333333,3.133174030895471
BAK1,NbL11g10970.1,main,p19o_ag_5,14.72023333333333,0.3933148752731213
BAK1,NbL11g10970.1,main,p19o_ag_7,18.08056666666667,0.5751088747165852
BAK1,NbL11g10970.1,main,p19o_ag_10,19.57193333333333,0.3259325969856001
CERK1,NbL18g17470.1,main,wt_mock_2,9.39146,0.5244367437864491
CERK1,NbL18g17470.1,main,wt_mock_5,11.34476666666667,1.259906400403529
CERK1,NbL18g17470.1,main,wt_mock_7,13.3179,1.41225354310053
CERK1,NbL18g17470.1,main,wt_mock_10,15.9816,1.389490442572384
CERK1,NbL18g17470.1,main,wt_ag_2,12.0292,1.447373809122347
CERK1,NbL18g17470.1,main,wt_ag_5,13.06503333333333,0.876151403075468
CERK1,NbL18g17470.1,main,wt_ag_7,19.95556666666667,1.142525905371272
CERK1,NbL18g17470.1,main,wt_ag_10,23.38833333333333,0.7881519784350668
CERK1,NbL18g17470.1,main,p19o_ag_2,14.98806666666667,3.059426790720408
CERK1,NbL18g17470.1,main,p19o_ag_5,14.70596666666667,0.4110372664910625
CERK1,NbL18g17470.1,main,p19o_ag_7,19.7848,2.128398694637199
CERK1,NbL18g17470.1,main,p19o_ag_10,21.569,1.345139421522294
CERK1,NbL04g17340.1,main,wt_mock_2,7.864993333333334,0.3044207176662662
CERK1,NbL04g17340.1,main,wt_mock_5,10.71976,1.035786415048972
CERK1,NbL04g17340.1,main,wt_mock_7,14.03493333333333,2.25656813645067
CERK1,NbL04g17340.1,main,wt_mock_10,18.60503333333333,1.324566114284641
CERK1,NbL04g17340.1,main,wt_ag_2,11.38059666666667,1.66055903257842
CERK1,NbL04g17340.1,main,wt_ag_5,12.86833333333333,0.5738650547917269
CERK1,NbL04g17340.1,main,wt_ag_7,18.2233,1.096725746635564
CERK1,NbL04g17340.1,main,wt_ag_10,20.56593333333333,0.3929243240681907
CERK1,NbL04g17340.1,main,p19o_ag_2,16.85693333333333,3.818564359081099
CERK1,NbL04g17340.1,main,p19o_ag_5,15.22406666666667,0.2653175853785627
CERK1,NbL04g17340.1,main,p19o_ag_7,18.7225,1.199800312552052
CERK1,NbL04g17340.1,main,p19o_ag_10,20.7983,0.4473862909537275
CORE,NbL07g07860.1,main,wt_mock_2,0.480506,0.03488643313667936
CORE,NbL07g07860.1,main,wt_mock_5,0.3814026666666666,0.1026955064342047
CORE,NbL07g07860.1,main,wt_mock_7,0.320991,0.03544456511700114
