target,gene_id,image_file
BAK1,NbL01g14510.1,01_BAK1.png
BAK1,NbL11g10970.1,01_BAK1.png
CERK1,NbL18g17470.1,02_CERK1.png
CERK1,NbL04g17340.1,02_CERK1.png
CORE,NbL07g07860.1,03_CORE.png
CRT3a,NbL10g04730.1,04_CRT3a.png
CRT3a,NbL12g10910.1,04_CRT3a.png
CSPR,NbL12g13540.1,05_CSPR.png
HevaA,NbL17g08820.1,06_HevaA.png
LIK1,NbL15g22260.1,07_LIK1.png
LIK1,NbL05g11890.1,07_LIK1.png
LYK3,NbL03g23360.1,08_LYK3.png
LYK3,NbL13g20290.1,08_LYK3.png
LYM3,NbL04g07070.1,09_LYM3.png
LYM3,NbL14g16690.1,09_LYM3.png
SOBIR1,NbL11g04700.1,10_SOBIR1.png
SOBIR1,NbL09g04840.1,10_SOBIR1.png
WAK1,NbL19g15890.1,11_WAK1.png
NOA1,NbL13g10330.1,12_NOA1.png
NOA1,NbL03g10660.1,12_NOA1.png
Peroxidase 72-like,NbL02g14280.1,13_Peroxidase_72-like.png
RbohA,NbL10g23180.1,14_RbohA.png
RbohA,NbL17g26900.1,14_RbohA.png
RbohB,NbL07g17410.1,15_RbohB.png
RbohB,NbL03g20890.1,15_RbohB.png
CDPK,NbL14g12510.1,16_CDPK.png
CDPK,NbL04g02620.1,16_CDPK.png
CNGC2,NbL02g23770.1,17_CNGC2.png
CNGC2,NbL19g10480.1,17_CNGC2.png
MPK3-6,NbL02g04960.1,18_MPK3-6.png
MPK3-6,NbL11g06180.1,18_MPK3-6.png
MPK3-6,NbL12g02360.1,18_MPK3-6.png
MPK3-6,NbL09g04280.1,18_MPK3-6.png
MPK3-6,NbL19g13100.1,18_MPK3-6.png
MPK3-6,NbL16g20410.1,18_MPK3-6.png
MPK3-6,NbL19g13090.1,18_MPK3-6.png
WRKY,NbL17g03780.1,19_WRKY.png
ACIF1,NbL12g20360.1,20_ACIF1.png
ACIF1,NbL02g06170.1,20_ACIF1.png
EDS1,NbL11g04240.1,21_EDS1.png
NRC234,NbL13g08540.1,22_NRC234.png
NRC234,NbL15g18490.1,22_NRC234.png
NRC234,NbL16g09570.1,22_NRC234.png
NRC234,NbL16g08640.1,22_NRC234.png
NRC234,NbL05g20150.1,22_NRC234.png
SAG101,NbL12g07280.1,23_SAG101.png
SAG101,NbL02g11930.1,23_SAG101.png
COI1,NbL15g12290.1,24_COI1.png
COI1,NbL10g11810.1,24_COI1.png
EDS5,NbL09g23040.1,25_EDS5.png
EIN2,NbL05g03910.1,26_EIN2.png
EIN3,NbL07g03540.1,27_EIN3.png
EIN3,NbL17g06220.1,27_EIN3.png
ETR1,NbL03g04220.1,28_ETR1.png
ETR1,NbL05g10790.1,28_ETR1.png
ICS,NbL09g06190.1,29_ICS.png
ICS,NbL11g04020.1,29_ICS.png
JAZ,NbL16g20890.1,30_JAZ.png
JAZ,NbL07g13150.1,30_JAZ.png
NPR1,NbL18g20120.1,31_NPR1.png
NPR1,NbL05g11340.1,31_NPR1.png
NPR1,NbL05g11410.1,31_NPR1.png
PAL,NbL14g10160.1,32_PAL.png
PAL,NbL15g02170.1,32_PAL.png
PYL8,NbL03g12610.1,33_PYL8.png
PYL8,NbL13g12750.1,33_PYL8.png
EAH,NbL12g17000.1,34_EAH.png
EAH,NbL12g16980.1,34_EAH.png
EAS,NbL17g23470.1,35_EAS.png
PR3,NbL02g16530.1,36_PR3.png
PRp27,NbL17g22800.1,37_PRp27.png
SQS,NbL17g01610.1,38_SQS.png
SQS,NbL09g23050.1,38_SQS.png
